id,label
uw1rjm,1
inihbu,1
m6ojct,0
glom9o,1
rci12x,1
nu9bxz,0
lxfycf,1
x1j2e6,1
quwr6s,1
pje5z1,0
kny3jr,1
hinjdj,1
re7mht,1
oyc3c7,1
oerdsn,1
qbh2m1,1
odjx7r,0
kskwn6,1
ikzcsr,1
ibf2am,1
sacxe8,1
c4us7w,1
hatpqu,1
pq279p,1
p0b0fg,1
nqafw5,0
lhja2h,1
l6ibt3,0
joeq54,0
j1jwwt,1
s5ppev,1
oilwx8,1
mhttcn,1
w2fedm,0
km91h6,1
jo3w5n,0
rdnxq7,1
o1sjcd,0
neapgi,0
i2oi59,1
o5cgv3,1
n09wrs,1
lll5h4,0
i3885a,1
gdvlnx,1
i3qpkl,1
hm50ar,1
hdb4qo,1
ywhd4j,1
kc22a5,0
ihl0ls,1
x83eng,0
pko3c0,1
ox9ifn,1
ki8pp5,1
k3id6c,1
ghk4j6,1
gendca,0
sizad2,1
kh95g0,1
i822wc,1
g8768u,1
rghr98,1
tuqdze,1
mwkd71,1
gye2n1,1
zhm9y4,1
sz2cs5,1
i2eo7a,0
g9ea1v,1
10ney3y,1
u37y9f,1
r83vvh,1
lw59ak,0
ro75tp,1
7wxmp6,1
n266xg,1
kwz4mx,1
zgnmfy,1
r1am24,0
ltrpoy,1
l2cfbp,1
irleax,1
gctoe2,1
r4bwz5,1
pdlzvb,1
p17rj6,1
yjhnux,0
xpphlw,1
w1jzle,1
t53b0o,1
qtn4tl,1
e2fuwf,0
12b1seo,0
lwu38f,0
l9zmqv,1
jfp8lw,0
j3lplj,0
hnxfdr,1
t2cchv,1
oggjql,0
ilgm1v,1
fpfuya,1
c3mihw,0
vw1kjq,1
v0jai7,0
ojsd8g,1
kk5f7p,1
bwaz2r,1
124pl8o,1
wy2mng,1
uiiuut,1
o16vb7,1
mk6kxa,1
k6jyb2,1
clvgyi,1
wubmig,1
qsbzo7,1
bi6buf,1
y83nav,0
116t0rt,1
s671sg,1
q9hzoo,0
1cc5n9s,0
1d07ik9,1
b30dr2,0
je7zks,0
jnwcov,0
9igadx,0
aun2h3,1
cohwjf,1
jg1bgm,1
h0sonr,1
5qc8qc,1
atwk8y,0
8yee2b,0
heupar,1
ced3nz,0
iosime,0
em0e7a,0
gujjo8,0
j61jth,0
dgedyv,1
gzqpsw,1
homwjx,1
fkayil,1
elm4sm,0
jlw56u,1
au3qat,1
hwdyq3,1
i23cs5,0
al7x83,1
gaarcc,1
7vn317,1
r4syf9,1
i6yga1,1
xm1a33,1
iemc1z,0
b51xc1,0
a2ofh9,1
arykqh,0
id9959,1
gsvpi2,1
5rwvm2,0
zl1gsv,1
kvey0u,1
yclpse,1
bnmo9f,1
10t5xcd,1
gdwcei,1
weo0z3,1
n2t7jt,1
hm9kez,0
n5qsxz,0
gvyq6q,1
eyv4nd,0
k9z01h,0
5tm37a,1
n6kr5j,1
bv56cg,0
ozif4l,1
gquc6o,1
g78nn7,0
dtd0fi,1
9ygehp,0
9uxn3a,1
oexatr,0
aipmmi,1
kaku8r,1
ok19yt,1
1dm5rs,1
9sjd8d,1
apyki0,1
mt9xax,1
dsbb97,1
1pedm5,1
mz6fwk,1
lrhd7x,1
e529rn,1
ei4t1h,0
fn7f4s,1
ar9edq,0
9c9g7n,1
l48hq6,1
a9z1y0,0
g2yamz,1
4jhapi,1
9vq2l0,1
85ixdg,1
j0r99g,0
mcs4fd,0
j1jlbq,0
fv6vhu,1
rz0tzh,1
jfp0lh,1
7ku5ur,1
yhzbyy,1
iv37hb,0
aklqpy,1
5qzxe3,0
d47bji,1
9irbmh,1
7cc6xn,1
mjk0hm,1
irqlx1,1
7wix08,0
ngoqme,1
frlefs,0
dlxd9q,1
bei0u7,1
bjjn70,0
mkkdkv,1
7rw1xs,1
yge7rs,1
4r29so,1
udlq31,0
jyl357,1
eya1x4,1
j0e253,1
bqw2vj,1
ldb1h3,1
czg41d,1
nu6qn7,1
nvjjfg,0
7jeff5,0
bjzl8d,0
k3m1gi,1
bncqxj,1
9jnop7,0
l5t3vc,1
lzgm9i,1
cfbfvy,1
gxkn4w,1
bfvh2i,1
7xkl1i,0
l90tb8,0
ns8fve,1
a0k03f,0
at5981,1
ibzmrv,1
bai2a3,1
t02f1o,0
gozgvh,0
qtp68f,1
dau2pa,1
d0q8ly,1
k93ukg,0
k1n0qs,1
6ov5zm,0
vkjaux,0
lkd9pd,1
8co5ne,0
hzcmoq,1
845g11,1
g7zq6x,1
zd38ji,0
vkyv5m,1
ag74u1,1
7jpgqn,1
h93lnx,0
bqyq8z,0
dda8yr,1
co584f,1
dmyjnu,0
iiwo2b,0
javk1p,0
hka240,0
84puih,1
ivhet2,1
iu6f1r,1
gznzk2,1
jmlh3v,1
gmllob,1
c0xt07,0
cc5hp6,1
a5cyq3,1
hdcopp,0
tqk4gp,1
7267c9,0
p6779t,0
neiqs5,1
k8zkbx,1
hy0q7u,1
8jgn96,1
78jsve,0
it4pdw,0
kcwpp4,1
e7c154,1
gxpoqp,1
1347s6u,0
ms2yea,1
8g07fi,1
nlhnet,0
i3b5uc,0
nmt2ac,0
nxsizg,1
m98typ,0
iyuvpv,1
dqkfx0,1
lbc45q,0
jj46ws,0
uxn19y,1
6q7qs4,0
srgcvr,1
bp5zso,1
12lz7fz,1
ni3q8z,1
aio39n,1
t64pxk,1
bmk1ft,1
u0eyy3,1
bis453,0
kbgn80,1
ephv4s,0
8m0en4,0
ae7acc,1
izdiuw,0
gnnvwi,1
ds61uh,0
b6mjg8,1
nda1ee,1
e0ak98,1
13a91l3,1
jbx73t,1
dkxsh8,1
cmefq1,1
v622th,0
ljv1k4,1
7dm0pq,0
roeoq4,1
k89cfu,0
y0bqqt,1
b5de8j,0
en8h3z,1
atefen,1
wuuaog,1
7737gd,1
eld9uc,1
asax3d,1
ejhopu,0
g53q6l,1
11tyk7d,1
eirahg,1
i04gqv,1
n89fcj,1
jyxf1h,1
sudvs2,1
fwbzib,0
jgc4sg,1
j2y84i,1
g1fwt2,1
lxkry4,1
bbmi2n,0
12rm4tl,1
ry8xbu,1
atnr8l,1
eoe3jx,1
dvt55k,0
bshp30,0
wfa03v,1
fiim31,1
xcs4jb,0
gj1rxq,1
ofbhci,0
og6nya,0
kg44cr,1
gek4b1,1
i5ydy2,1
843950,0
lryhwp,1
dq7859,0
sdmkr3,1
movd0i,1
do54y2,0
gxdgni,1
tsid99,0
iah7ti,1
gd2o16,1
mjbdxp,1
bg8l6x,0
ju6q8x,1
jm0o87,1
dp125j,0
d16lz3,1
y6oruq,1
krfggr,1
b4p5jq,1
tq1041,0
lo9nyr,1
ybgmj2,1
pymeep,1
laj5pz,1
ep2usz,1
d53buu,1
r4hvrx,1
ljdkpl,1
aoc6r6,1
kdc2yi,0
gi96dv,1
9t41qp,1
lv2xag,0
mjqakb,1
jp6m2x,1
fjls1h,1
ovbvwj,1
antuxz,1
jwz8qk,1
eq7t8i,1
bxbbyl,0
mw40z3,1
ethk4a,0
bekht6,0
fvvdq3,1
cg0w51,0
dxehqu,1
12dc7tt,0
few3i4,1
cp2vfq,0
zmexzm,1
ot76nr,0
d3bs29,1
k3b407,1
ormi79,1
g6dwi6,1
jqbwbo,1
j9hazw,1
fmb46e,1
o8oixr,1
m5bkup,1
borqma,0
am1ft2,0
dernuk,1
kvoglq,1
ic64t5,1
k46evd,1
xugep6,1
8bqhp7,1
hsw9mm,1
9xnkc5,1
10fz1qi,1
12y5qp6,1
s6yzv1,1
e7qtkk,0
dudyww,1
mnnvpg,1
ckpd1m,1
fly9i5,0
cjbo7b,1
fl1ecl,1
jbdmp8,1
a06iw0,0
dfxido,1
13bybdo,0
kj4wiy,1
8sj0tr,1
pso7p5,1
g4ee93,1
rva6zt,1
t314n4,1
luem3y,1
12i5blq,1
c77zfj,0
jijezf,1
mhoctz,1
urnwdb,1
jvns8u,1
ds8aof,1
se26sb,1
ot2a3v,1
v6g8xg,1
cfmfjl,0
gwwayj,0
ythu4k,1
10og8yd,1
e99dy8,1
12sz4jm,1
ltsszw,0
tgi0jh,1
efol2x,0
pkxvfw,1
q2ybpt,1
10lh0kb,1
t6gzir,1
f398k7,1
10myon5,1
kd2ba3,1
122mw3s,1
d51bvy,1
leaqzv,0
tv8zxs,1
k4ztum,1
ix0bcc,1
n2l5da,1
yoynba,1
ppy1qd,1
ecmzuv,1
ovg86m,1
hcmgw1,1
n9aj24,1
ogpawi,1
digbjo,0
9vytf4,0
q5oo51,1
q238gv,1
vrz2i6,1
te4wyn,1
pu6wyy,1
xi6tl5,1
pzf9uw,1
io17lu,1
i4ix4r,1
qp35hh,1
pi1xuc,1
kagx4i,1
lacl3n,1
ekp02y,0
djs7qr,1
ehvw1h,1
n8g27z,0
q0i5kv,1
mz2g7d,1
e3hrk8,1
prwnuo,1
vgmh01,1
acz2zy,1
hdrxmv,1
mn3f94,1
fsw30q,1
fiimgh,1
ahwc70,1
jvad9c,1
xlp96l,1
fv6vff,0
m69j99,1
ji1nh3,1
hs7lpj,1
kw5ezv,1
10vrdj0,0
ozy3ry,1
d5katw,1
np02ex,1
dc1r8s,1
d0g6aq,1
yuizt7,1
ntl817,1
jh990b,1
vo83tv,0
ezvlz9,1
xrsyd3,1
s38v2p,1
oumlcn,1
mp0w5a,1
mt65oz,1
il02rm,1
dzm8tq,1
358y1e,1
svnnrw,1
k78x89,1
fp2qfw,1
119ui9v,1
nrmuw9,1
mpf58r,1
el5w03,1
cptxgo,1
b4l9ea,1
12wusex,1
jt7uoe,0
h0qqtp,1
d3buxs,0
m3p6nx,1
m0l81m,1
12f33o2,1
vi3z0b,1
mjyk2u,1
ivz8xu,1
d10pax,1
12z7qhv,1
yi8us2,1
wlx0o6,1
jcaonf,1
vukfmd,1
kzg0s5,1
gkqsfs,1
isnyia,0
ofmftl,1
c34b7x,1
13puwby,1
12jinm8,1
tpiaf8,1
p9qfwq,1
lw940h,1
g1iapf,1
d06boi,0
cuhuas,1
zg4ur0,1
bdws89,1
zcra2y,1
j45znm,1
l6kxs5,1
j62br7,1
ejhsbf,1
zk0ebl,1
j6rmx9,1
ih0b7f,1
c3iano,0
bvlier,1
gt6a3u,0
ye7rhg,0
j2pdnj,1
e3vvmh,1
d1sam3,1
11qnihz,1
nnm7g5,1
jiuzx6,1
ce72sg,1
1d65mr4,1
1d5rrwb,1
1d62vnn,1
1d64dk0,1
1d64vdc,1
1d63mu5,1
1d5yel8,0
1d5xfc2,1
1d61dfc,1
1d613za,0
1d60yv1,1
1d5tdak,1
1d5uxmp,1
1d5zac1,0
1d5r5ii,1
1d5qgjb,1
1d5sy7e,1
1d5iook,1
1d5kcf7,0
1d5cx2l,0
1d5gtoh,1
1d5cq49,0
1d5ckzs,1
1d56i05,1
1d5h6fs,1
1d5gwkt,1
1d5aw4j,1
1d5aa0m,1
1d59ghy,1
1d5dhny,1
1d58t8q,0
1d50fma,1
1d4ussz,1
1d4whcq,0
1d4rmbv,0
1d4zvmm,0
1d4y7km,0
1d4qhx5,0
1d4n0p3,1
1d4msqn,1
1d4for8,1
1d4pagi,1
1d4ojx1,1
1d4dxgz,1
1d4kegs,1
1d4jdm0,1
1d4i01u,1
1d4bq2y,0
1d4fyxz,1
1d4fodu,1
1d47kup,1
1d4d2lj,1
1d4cokl,1
1d4bomb,1
